"Epoch (UTC)","Ch 2.12500E6 Hz (W/m^2/Hz)"
2016-07-03T13:00:32.497Z,1.6949E-19
2016-07-03T13:01:15.338Z,1.7330E-19
2016-07-03T13:01:58.174Z,7.4257E-20
2016-07-03T13:02:41.013Z,3.4800E-19
2016-07-03T13:03:23.850Z,4.0131E-19
2016-07-03T13:04:06.691Z,1.9564E-19
2016-07-03T13:04:49.533Z,1.0042E-19
2016-07-03T13:05:32.372Z,6.0780E-20
2016-07-03T13:06:15.208Z,1.0522E-19
2016-07-03T13:06:58.049Z,3.2331E-19
2016-07-03T13:07:40.893Z,4.0375E-19
2016-07-03T13:08:23.734Z,1.9084E-19
2016-07-03T13:09:06.572Z,3.3035E-20
2016-07-03T13:09:49.411Z,2.9668E-20
2016-07-03T13:10:32.256Z,5.9318E-20
2016-07-03T13:11:15.095Z,4.5966E-20
2016-07-03T13:11:57.932Z,4.0242E-20
2016-07-03T13:12:40.783Z,2.2003E-19
2016-07-03T13:13:23.622Z,3.6531E-19
2016-07-03T13:14:06.463Z,2.3097E-19
2016-07-03T13:14:49.302Z,8.0196E-20
2016-07-03T13:15:32.138Z,1.0328E-19
2016-07-03T13:16:14.975Z,1.0499E-19
2016-07-03T13:16:57.816Z,7.7989E-20
2016-07-03T13:17:40.661Z,1.1456E-19
2016-07-03T13:18:23.502Z,4.6260E-20
2016-07-03T13:19:06.342Z,1.0061E-19
2016-07-03T13:19:49.177Z,9.6871E-20
2016-07-03T13:20:32.014Z,1.7916E-19
2016-07-03T13:21:14.859Z,1.6491E-19
2016-07-03T13:21:57.701Z,8.5661E-20
2016-07-03T13:22:40.536Z,6.1346E-20
2016-07-03T13:23:23.377Z,9.2792E-20
2016-07-03T13:24:06.222Z,2.9879E-19
2016-07-03T13:24:49.061Z,8.3404E-20
2016-07-03T13:25:31.902Z,9.6322E-20
2016-07-03T13:26:14.743Z,5.7592E-20
2016-07-03T13:26:57.583Z,1.3310E-19
2016-07-03T13:27:40.420Z,1.8513E-19
2016-07-03T13:28:23.263Z,7.8352E-20
2016-07-03T13:29:06.100Z,2.4722E-19
2016-07-03T13:29:48.941Z,3.4451E-20
2016-07-03T13:30:31.777Z,2.6957E-20
2016-07-03T13:31:14.618Z,3.6843E-20
2016-07-03T13:31:57.458Z,3.0839E-19
2016-07-03T13:32:40.299Z,4.2157E-19
2016-07-03T13:33:23.138Z,3.8514E-19
2016-07-03T13:34:05.975Z,1.4358E-19
2016-07-03T13:34:48.816Z,8.1572E-20
2016-07-03T13:35:31.661Z,2.7144E-19
2016-07-03T13:36:14.502Z,7.6523E-20
2016-07-03T13:36:57.342Z,7.5696E-20
2016-07-03T13:37:40.179Z,6.8055E-20
2016-07-03T13:38:23.014Z,5.2502E-20
2016-07-03T13:39:05.854Z,1.0080E-19
2016-07-03T13:39:48.697Z,6.4382E-20
2016-07-03T13:40:31.536Z,5.6045E-20
2016-07-03T13:41:14.377Z,3.0705E-19
2016-07-03T13:41:57.213Z,2.1105E-19
2016-07-03T13:42:40.052Z,1.8833E-19
2016-07-03T13:43:22.893Z,2.9756E-19
2016-07-03T13:44:05.734Z,1.3879E-19
2016-07-03T13:44:48.576Z,6.8945E-20
2016-07-03T13:45:31.415Z,2.8645E-19
2016-07-03T13:46:14.260Z,3.4508E-19
2016-07-03T13:46:57.095Z,5.6041E-19
2016-07-03T13:47:39.932Z,1.0762E-19
2016-07-03T13:48:22.772Z,5.3553E-20
2016-07-03T13:49:05.615Z,2.2562E-19
2016-07-03T13:49:48.451Z,8.9494E-20
2016-07-03T13:50:31.290Z,7.2378E-20
2016-07-03T13:51:14.131Z,6.4382E-20
2016-07-03T13:51:56.970Z,6.6853E-20
2016-07-03T13:52:39.807Z,1.0566E-19
2016-07-03T13:53:22.647Z,6.9977E-20
2016-07-03T13:54:05.484Z,6.6788E-20
2016-07-03T13:54:48.326Z,3.5701E-19
2016-07-03T13:55:31.174Z,2.8670E-19
2016-07-03T13:56:14.010Z,8.7522E-20
2016-07-03T13:56:56.847Z,2.9668E-20
2016-07-03T13:57:39.686Z,9.6009E-20
2016-07-03T13:58:22.522Z,1.6974E-19
2016-07-03T13:59:05.368Z,1.4900E-19
2016-07-03T13:59:48.204Z,1.5403E-19
